,DNase
chr1:134235456:134235457:NM_001282945:Adora1,2.3276987615173206
chr1:134235456:134235457:NM_001291930:Adora1,2.3276987615173206
chr1:134234855:134234856:NM_001291928:Adora1,2.3280985199788566
chr1:134235456:134235457:NM_001039510:Adora1,2.3276987615173206
chr1:134235456:134235457:NM_001008533:Adora1,2.3276987615173206
chr1:33669793:33669794:NM_008922:Prim2,0.008338053147624862
chr1:9299876:9299877:NM_001290390:Sntg1,0.15402039789830313
chr1:58713285:58713286:NM_207653:Cflar,-1.4131113047228552
chr1:9299876:9299877:NM_001290393:Sntg1,0.15402039789830313
chr1:9299876:9299877:NM_001290392:Sntg1,0.15402039789830313
chr1:58711490:58711491:NM_001289704:Cflar,-1.4599098628977858
chr1:25829706:25829707:NM_175642:Adgrb3,1.2461996229276127
chr1:9299876:9299877:NM_027671:Sntg1,0.15402039789830313
chr1:58711490:58711491:NM_001293804:Cflar,-1.4599098628977858
chr1:58713285:58713286:NM_009805:Cflar,-1.4131113047228552
chr1:75506451:75506452:NM_178884:Obsl1,1.520927239441657
chr1:125676995:125676996:NM_027677:Gpr39,0.4080044182262305
chr1:75506451:75506452:NM_001310679:Obsl1,1.520927239441657
chr1:184557690:184557691:NR_040472:1700112H15Rik,0.0938174222453038
chr1:176213941:176213942:NM_001195816:Pld5,1.203355581889842
chr1:193035774:193035775:NM_181546:Syt14,0.7411945067666033
chr1:167689557:167689558:NM_033652:Lmx1a,1.8979970268762407
chr1:176275311:176275312:NM_176916:Pld5,0.845824438917608
chr1:193035774:193035775:NM_001301370:Syt14,0.7411945067666033
chr1:11414104:11414105:NM_001160369:A830018L16Rik,0.8742531651167813
chr1:10719944:10719945:NM_001289497:Cpa6,0.5029640928820355
chr1:11414104:11414105:NM_001160370:A830018L16Rik,0.8742531651167813
chr1:10719944:10719945:NM_177834:Cpa6,0.5029640928820355
chr1:13660508:13660509:NM_145381:Lactb2,-0.5664260658575662
chr1:11414104:11414105:NM_001160371:A830018L16Rik,0.8742531651167813
chr1:11414104:11414105:NM_177173:A830018L16Rik,0.8742531651167813
chr1:11414104:11414105:NM_001310451:A830018L16Rik,0.8742531651167813
chr1:20951625:20951626:NM_027974:Efhc1,0.8399733152984109
chr1:32172805:32172806:NM_133235:Khdrbs2,0.6808701954004324
chr1:38821214:38821215:NM_001029878:Lonrf2,0.6197272088660701
chr1:39847329:39847330:NR_040465:1700066B17Rik,0.5326988242686826
chr1:36709924:36709925:NM_146107:Actr1b,0.018031197388984368
chr1:46066737:46066738:NM_001160386:Dnah7b,0.25224050864383096
chr1:42952871:42952872:NM_053107:Gpr45,0.7550386176365937
chr1:54557683:54557684:NM_001163314:Pgap1,-0.2730399512019948
chr1:53706783:53706784:NM_001252070:Dnah7a,-0.3835574919659834
chr1:55405945:55405946:NM_001114663:Plcl1,-0.4611145174553728
chr1:61638823:61638824:NM_001081050:Pard3b,1.1136182692763583
chr1:59764278:59764279:NM_007561:Bmpr2,-0.7009397953169181
chr1:69951614:69951615:NM_025728:Spag16,-0.03765990539628103
chr1:71414909:71414910:NM_175210:Abca12,0.3273522302460114
chr1:72307420:72307421:NM_009533:Xrcc5,-0.20346530887428327
chr1:74505820:74505821:NM_001310662:Usp37,-1.085810955829338
chr1:69108058:69108059:NM_010154:Erbb4,1.8387591471238691
chr1:69826969:69826970:NM_029160:Spag16,0.2573869212304139
chr1:74544285:74544286:NM_176972:Usp37,0.4601769964398424
chr1:73398967:73398968:NR_040605:D530049I02Rik,1.299701605392469
chr1:73407568:73407569:NR_003202:Pinc,1.1220231762308552
chr1:80758552:80758553:NM_175291:Dock10,-1.0566592041288019
chr1:86703803:86703804:NM_001172157:Dis3l2,-0.031777569717085376
chr1:89070461:89070462:NM_133816:Sh3bp4,1.3271684692009613
chr1:88070778:88070779:NM_201644:Ugt1a9,-0.48445853196502076
chr1:88055410:88055411:NM_201641:Ugt1a10,-0.28159700342435096
chr1:84935082:84935083:NM_027921:Slc16a14,0.5237483156798637
chr1:86703803:86703804:NM_153530:Dis3l2,-0.031777569717085376
chr1:93342787:93342788:NM_080850:Pask,-0.5925866074917326
