,H3K27ac
chr1:134235456:134235457:NM_001282945:Adora1,2.6763116575826773
chr1:134235456:134235457:NM_001291930:Adora1,2.6763116575826773
chr1:134234855:134234856:NM_001291928:Adora1,2.6697985427273436
chr1:134235456:134235457:NM_001039510:Adora1,2.6763116575826773
chr1:134235456:134235457:NM_001008533:Adora1,2.6763116575826773
chr1:33669793:33669794:NM_008922:Prim2,0.02530081601703856
chr1:9299876:9299877:NM_001290390:Sntg1,1.8537326873987843
chr1:58713285:58713286:NM_207653:Cflar,-0.6350592498689231
chr1:9299876:9299877:NM_001290393:Sntg1,1.8537326873987843
chr1:9299876:9299877:NM_001290392:Sntg1,1.8537326873987843
chr1:58711490:58711491:NM_001289704:Cflar,-0.6253570102258958
chr1:25829706:25829707:NM_175642:Adgrb3,2.9595967316922316
chr1:9299876:9299877:NM_027671:Sntg1,1.8537326873987843
chr1:58711490:58711491:NM_001293804:Cflar,-0.6253570102258958
chr1:58713285:58713286:NM_009805:Cflar,-0.6350592498689231
chr1:75506451:75506452:NM_178884:Obsl1,0.36889323300356014
chr1:125676995:125676996:NM_027677:Gpr39,-1.0911774550583455
chr1:75506451:75506452:NM_001310679:Obsl1,0.36889323300356014
chr1:184557690:184557691:NR_040472:1700112H15Rik,0.33085834512804485
chr1:176213941:176213942:NM_001195816:Pld5,2.122884802256356
chr1:193035774:193035775:NM_181546:Syt14,1.0396974845482663
chr1:167689557:167689558:NM_033652:Lmx1a,0.847765907180569
chr1:176275311:176275312:NM_176916:Pld5,1.5220832324830798
chr1:193035774:193035775:NM_001301370:Syt14,1.0396974845482663
chr1:11414104:11414105:NM_001160369:A830018L16Rik,0.5411783226133347
chr1:10719944:10719945:NM_001289497:Cpa6,0.6383861183955887
chr1:11414104:11414105:NM_001160370:A830018L16Rik,0.5411783226133347
chr1:10719944:10719945:NM_177834:Cpa6,0.6383861183955887
chr1:13660508:13660509:NM_145381:Lactb2,-1.5620318402117768
chr1:11414104:11414105:NM_001160371:A830018L16Rik,0.5411783226133347
chr1:11414104:11414105:NM_177173:A830018L16Rik,0.5411783226133347
chr1:11414104:11414105:NM_001310451:A830018L16Rik,0.5411783226133347
chr1:20951625:20951626:NM_027974:Efhc1,1.0830086030779664
chr1:32172805:32172806:NM_133235:Khdrbs2,2.072065769122236
chr1:38821214:38821215:NM_001029878:Lonrf2,0.60432434939219
chr1:39847329:39847330:NR_040465:1700066B17Rik,0.5628908945642205
chr1:36709924:36709925:NM_146107:Actr1b,-0.2524006188367471
chr1:46066737:46066738:NM_001160386:Dnah7b,1.1464849431144082
chr1:42952871:42952872:NM_053107:Gpr45,1.5700229083023045
chr1:54557683:54557684:NM_001163314:Pgap1,1.0659691933678936
chr1:53706783:53706784:NM_001252070:Dnah7a,0.1526294231089286
chr1:55405945:55405946:NM_001114663:Plcl1,1.4980064720750619
chr1:61638823:61638824:NM_001081050:Pard3b,0.9801808152051655
chr1:59764278:59764279:NM_007561:Bmpr2,0.6310043295479906
chr1:69951614:69951615:NM_025728:Spag16,-0.3854044059004681
chr1:71414909:71414910:NM_175210:Abca12,0.059677764933015916
chr1:72307420:72307421:NM_009533:Xrcc5,-0.41680546060229995
chr1:74505820:74505821:NM_001310662:Usp37,-1.6431988966062716
chr1:69108058:69108059:NM_010154:Erbb4,2.3184036097426297
chr1:69826969:69826970:NM_029160:Spag16,0.6246818285686294
chr1:74544285:74544286:NM_176972:Usp37,0.3494719856052778
chr1:73398967:73398968:NR_040605:D530049I02Rik,-0.014732076165488066
chr1:73407568:73407569:NR_003202:Pinc,-0.07065519799075128
chr1:80758552:80758553:NM_175291:Dock10,1.0882756025115463
chr1:86703803:86703804:NM_001172157:Dis3l2,0.9930246495042269
chr1:89070461:89070462:NM_133816:Sh3bp4,0.6765189550701859
chr1:88070778:88070779:NM_201644:Ugt1a9,-0.9132865783665015
chr1:88055410:88055411:NM_201641:Ugt1a10,-0.679828427574491
chr1:84935082:84935083:NM_027921:Slc16a14,1.314541535371867
chr1:86703803:86703804:NM_153530:Dis3l2,0.9930246495042269
chr1:93342787:93342788:NM_080850:Pask,-0.808857177441825
chr1:106938956:106938957:NM_001199213:Serpinb12,-0.7518176866609707
chr1:104768818:104768819:NM_011800:Cdh20,2.186042638700546
chr1:106934448:106934449:NM_027971:Serpinb12,-0.7906118013747846
chr1:109983722:109983723:NM_172853:Cdh7,2.9597757036471855
chr1:109982899:109982900:NM_001316743:Cdh7,2.9664247158392842
chr1:115685136:115685137:NM_001077425:Cntnap5a,1.6933002292408486
chr1:109983301:109983302:NM_001316744:Cdh7,2.9662114328924383
chr1:124045558:124045559:NM_199021:Dpp10,2.5175797518635092
chr1:118389057:118389058:NM_029709:Clasp1,-0.8768578202682722
chr1:118389057:118389058:NM_001293301:Clasp1,-0.8768578202682722
chr1:118389057:118389058:NM_001293300:Clasp1,-0.8768578202682722
chr1:131097842:131097843:NM_008551:Mapkapk2,0.10560725293579071
chr1:132139684:132139685:NM_008795:Cdk18,1.1274273528094518
chr1:127868772:127868773:NM_178690:Rab3gap1,-0.3194550697878959
chr1:129273303:129273304:NM_172485:Thsd7b,1.4301881100531169
chr1:135284083:135284084:NM_145417:Rnpep,0.0931146387964287
chr1:135284083:135284084:NM_001159624:Rnpep,0.0931146387964287
chr1:136346103:136346104:NM_001081360:Camsap2,1.2492627755986285
chr1:139454772:139454773:NM_009791:Aspm,-1.3418322929910154
chr1:140246256:140246257:NM_001081027:Kcnt2,0.7345131533591729
chr1:136346103:136346104:NM_001347109:Camsap2,1.2492627755986285
chr1:136346103:136346104:NM_001347110:Camsap2,1.2492627755986285
chr1:149961289:149961290:NM_008869:Pla2g4a,-0.5314753936410173
chr1:146495665:146495666:NM_153539:Brinp3,2.3299488389535257
chr1:143702892:143702893:NM_145991:Cdc73,-1.5160389937913297
chr1:146497686:146497687:NM_001145807:Brinp3,2.292741353916367
chr1:155158702:155158703:NM_021433:Stx6,0.7306061194412259
chr1:152090319:152090320:NM_197990:1700025G04Rik,1.8993333480381374
chr1:152955100:152955101:NM_175460:Nmnat2,1.2188550071385233
chr1:158356259:158356260:NM_207583:Brinp2,3.3207083192486877
chr1:157412594:157412595:NM_177644:Rasal2,0.6212362654485339
chr1:165708093:165708094:NM_001038846:Rcsd1,-0.05383636317033977
chr1:165708093:165708094:NM_178593:Rcsd1,-0.05383636317033977
chr1:160792937:160792938:NM_013862:Rabgap1l,0.6285018099716391
